State,County,Year,DayswithAQI,GoodDays,ModerateDays,UnhealthyforSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,MaxAQI,Percentile90AQI,MedianAQI,DaysCO,DaysNO2,DaysOzone,DaysSO2,DaysPM25,DaysPM10
Ohio,Adams,1985,31,17,8,6,0,0,0,134,105,50,0,0,0,31,0,0
Ohio,Allen,1985,365,251,85,27,2,0,0,156,93,41,0,0,234,131,0,0
Ohio,Ashtabula,1985,365,227,91,39,8,0,0,200,105,44,0,0,170,195,0,0
Ohio,Belmont,1985,315,188,125,2,0,0,0,125,72,50,0,0,0,315,0,0
Ohio,Butler,1985,365,191,134,34,6,0,0,197,101,49,2,0,159,204,0,0
Ohio,Clark,1985,360,275,66,15,4,0,0,166,87,39,0,0,302,58,0,0
Ohio,Clermont,1985,363,170,130,55,7,1,0,221,115,52,0,0,171,192,0,0
Ohio,Columbiana,1985,347,170,95,70,12,0,0,194,123,54,0,0,0,299,0,48
Ohio,Cuyahoga,1985,365,28,111,185,41,0,0,200,153,109,0,10,26,329,0,0
Ohio,Franklin,1985,365,131,175,52,7,0,0,182,112,58,43,66,95,161,0,0
Ohio,Hamilton,1985,365,30,125,192,17,1,0,210,139,105,2,34,36,293,0,0
Ohio,Jefferson,1985,365,68,183,99,14,1,0,205,130,81,16,8,9,313,0,19
Ohio,Lake,1985,365,93,145,109,17,1,0,203,132,71,21,0,119,225,0,0
Ohio,Lawrence,1985,277,224,42,10,1,0,0,154,69,29,0,0,0,277,0,0
Ohio,Lorain,1985,365,194,119,48,4,0,0,200,109,48,0,0,115,247,0,3
Ohio,Lucas,1985,365,148,148,60,9,0,0,183,115,58,45,0,104,214,0,2
Ohio,Mahoning,1985,365,210,117,31,7,0,0,185,102,48,27,0,166,171,0,1
Ohio,Medina,1985,355,280,61,11,3,0,0,179,80,34,0,0,355,0,0,0
Ohio,Meigs,1985,342,220,61,42,19,0,0,200,125,29,0,0,0,342,0,0
Ohio,Montgomery,1985,365,221,123,17,4,0,0,164,87,45,31,104,124,104,0,2
Ohio,Noble,1985,18,14,4,0,0,0,0,57,54,40,0,0,0,0,0,18
Ohio,Portage,1985,361,270,54,26,11,0,0,200,101,38,0,0,361,0,0,0
Ohio,Preble,1985,350,280,55,13,2,0,0,161,77,35,0,0,350,0,0,0
Ohio,Richland,1985,299,256,39,4,0,0,0,132,56,20,0,0,0,299,0,0
Ohio,Scioto,1985,357,298,48,10,1,0,0,159,60,26,0,0,0,357,0,0
Ohio,Stark,1985,365,168,143,48,6,0,0,169,109,54,4,46,152,160,0,3
Ohio,Summit,1985,365,75,173,110,7,0,0,197,125,85,1,0,87,277,0,0
Ohio,Trumbull,1985,359,304,52,3,0,0,0,123,62,21,0,0,0,359,0,0
Ohio,Tuscarawas,1985,309,122,90,72,25,0,0,200,146,69,0,0,0,309,0,0
Ohio,Warren,1985,326,228,58,31,9,0,0,197,108,39,0,0,326,0,0,0
Ohio,Washington,1985,314,208,90,16,0,0,0,139,87,36,0,0,0,314,0,0
Ohio,Adams,1991,365,162,122,76,5,0,0,200,114,55,0,0,0,360,0,5
Ohio,Allen,1991,350,242,76,23,9,0,0,182,100,37,0,0,186,164,0,0
Ohio,Ashtabula,1991,365,216,96,37,15,1,0,202,115,44,0,0,170,195,0,0
Ohio,Athens,1991,20,20,0,0,0,0,0,47,40,19,0,0,0,0,0,20
Ohio,Belmont,1991,365,35,232,93,5,0,0,163,131,79,0,0,0,360,0,5
